Bairros,Latitude,Longitude
Água Verde,-26.9107433,-49.1073687
Badenfurt,-26.8830601,-49.1357528
Boa Vista,-26.9013572,-49.0668423
Bom Retiro,-26.9255612,-49.0716351
Centro,-26.9199015,-49.0659336
Da Glória,-26.9641865,-49.0594793
Do Salto,-26.883472,-49.1025991
Escola Agrícola,-26.8950782,-49.0990262
Fidélis,-26.8389394,-49.0612734
Fortaleza,-26.8790525,-49.0652593
Fortaleza Alta,-26.8471919,-49.0504566
Garcia,-26.9345765,-49.0594673
Itoupava Central,-26.8161897,-49.0892229
Itoupava Norte,-26.8795529,-49.0782404
Itoupava Seca,-26.8951377,-49.0817181
Itoupavazinha,-26.8488784,-49.1138734
Jardim Blumenau,-26.9262538,-49.0618058
Nova Esperança,-26.8855823,-49.0468227
Passo Manso,-26.9074548,-49.1480265
Ponta Aguda,-26.9158716,-49.0642816
Progresso,-26.9722528,-49.0751711
Ribeirão Fresco,-26.9272575,-49.0488667
Salto do Norte,-26.8704796,-49.1002688
Salto Weissbach,-26.8966938,-49.1299364
Testo Salto,-26.8491667,-49.1466052
Tribess,-26.8716909,-49.0497477
Valparaíso,-26.957671,-49.0730538
Velha,-26.9184933,-49.0925069
Velha Central,-26.9300231,-49.1268685
Velha Grande,-26.9436435,-49.129417
Victor Konder,-26.9089357,-49.0750949
Vila Formosa,-26.938025,-49.0714788
Vila Itoupava,-26.7258374,-49.0672389
Vila Nova,-26.9034321,-49.0882365
Vorstadt,-26.9050459,-49.0391294
